NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Bank Polska Kasa Opieki Spółka Akcyjna,12401923,"Dębica, ul. Kościuszki 6, 39-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12406784,"Wrocław, ul. Jedności Narodowej 203, 50-303"
Santander Bank Polska Spółka Akcyjna,10901665,"Kraków, ul. Armii Krajowej 18, 30-150"
Bank Pocztowy Spółka Akcyjna,13200006,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
BNP Paribas Bank Polska Spółka Akcyjna,16000016,"Warszawa, ul. Suwak 3, 02-676"
BNP Paribas Bank Polska Spółka Akcyjna,17500025,"Warszawa, ul. Grzybowska 78, 00-844"
Spółdzielczy Bank Ludowy w Kępnie,84131036,"Baranów, ul. Rynek 12, 63-604"
mBank Spółka Akcyjna,11401209,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Spółdzielczy w Siedlcu,96600007,"Siedlec, ul. Zbąszyńska 25, 64-212"
Nadsański Bank Spółdzielczy,94301032,"Ulanów, ul. Rynek 42, 37-410"
BNP Paribas Bank Polska Spółka Akcyjna,17501266,"Jelenia Góra, ul. Bankowa 34, 58-500"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200221,"Szczecin, ul. Lucjana Rydla 41/42, 70-783"
Bank Spółdzielczy w Starej Białej,90220007,"Żychlin, ul. Gabriela Narutowicza 65, 99-320"
Bank Polska Kasa Opieki Spółka Akcyjna,12403783,"Bytów, ul. Bauera 3, 77-100"
mBank Spółka Akcyjna,11401023,"Warszawa, ul. Wspólna 47/49, 00-684"
Bank Spółdzielczy w Ciechanowcu,87490006,"Ciechanowiec, pl. 3 Maja 3, 18-230"
Narodowy Bank Polski,10101238,"Kielce, ul. Warszawska 46, 25-312"
Bank Polska Kasa Opieki Spółka Akcyjna,12406797,"Wrocław, ul. Legnicka 62, 54-204"
Bank Polska Kasa Opieki Spółka Akcyjna,12401314,"Kalisz, ul. Nowy Rynek 7A, 62-800"
Bank Spółdzielczy Ziem Górskich KARPATIA,81400009,"Radziechowy Wieprz, Radziechowy Wieprz 700, 34-381"
Santander Bank Polska Spółka Akcyjna,10901359,"Poznań, ul. Św.Marcin 66/72, 60-967"
mBank Spółka Akcyjna,11402062,"Warszawa, ul. Ostrobramska 95, 04-118"
Bank Spółdzielczy w Starogardzie Gdańskim,83430008,"Smętowo Graniczne, ul. Kociewska 3, 83-230"
Bank Spółdzielczy w Siemiatyczach,80920001,"Siemiatycze, ul. Drohiczyńska 8, 17-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12401558,"Nowy Sącz, ul. Jagiellońska 26, 33-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12402135,"Warszawa, ul. Puławska 54/56, 02-592"
Bank Pocztowy Spółka Akcyjna,13200022,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Allfunds Bank S.A.U. (Spółka Akcyjna) Oddział w Polsce,28800006,"Warszawa, Rondo Ignacego Daszyńskiego 2B, 00-843"
Bank Spółdzielczy Lwówek Śląski w Lwówku Śląskim,83840009,"Lwówek Śląski, ul. Morcinka 16, 59-600"
Santander Bank Polska Spółka Akcyjna,10901056,"Warszawa, al. Jana Pawła II 17, 00-854"
EXPRESS BANK SPÓŁDZIELCZY,91760009,"Rzeszów, ul. Rejtana 49/11B, 35-326"
Aareal Bank Aktiengesellschaft (Spółka Akcyjna) - Oddział w Polsce,25100002,"Warszawa, Rondo ONZ 1, 00-124"
Bank Spółdzielczy w Otwocku,80011015,"Celestynów, ul. św. Kazimierza 47, 05-430"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205200,"Ciechocinek, ul. Zdrojowa 7, 87-720"
Bank Spółdzielczy w Ostrowi Mazowieckiej,89231047,"Andrzejewo, ul. Warszawska 51, 07-305"
Bank Spółdzielczy w Opocznie,89920000,"Opoczno, pl. Kościuszki 3, 26-300"
Bank Spółdzielczy w Ostrowcu Świętokrzyskim,85071030,"Łagów, ul. Iwańska 10, 27-430"
Bank Spółdzielczy w Otmuchowie,88721026,"Nysa, ul. Kolejowa 13, 48-300"
Bank Gospodarstwa Krajowego,11301091,"Katowice, ul. Wrocławska 54, 40-217"
ABS Bank Spółdzielczy,81380008,"Wieprz, Wieprz 222, 34-122"
ESBANK Bank Spółdzielczy,89780008,"Kleszczów, ul. Sportowa 53, 97-410"
Bank Spółdzielczy w Oławie,95850007,"Oława, ul. Pałacowa 13, 55-200"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203570,"Bartoszyce, pl. Konstytucji 3 Maja 21, 11-200"
Bank Spółdzielczy w Mykanowie,82580005,"Mykanów, ul. Samorządowa 3, 42-233"
SGB-Bank Spółka Akcyjna,16100019,"Poznań, ul. Szarych Szeregów 23A, 60-462"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202267,"Ostrów Wielkopolski, ul. Raszkowska 25A, 63-400"
ING Bank Śląski Spółka Akcyjna,10501533,"Tarnowo Podgórne, ul. Poznańska 84, 62-080"
Bank Spółdzielczy w Werbkowicach,96420009,"Werbkowice, ul. Zamojska 1/1, 22-550"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202384,"Chrzanów, ul. Świętokrzyska 1, 32-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12402470,"Lublin, ul. Nowowiejskiego 2, 20-880"
Gospodarczy Bank Spółdzielczy w Barlinku,83551093,"Bierzwnik, ul. Kopernika 1, 73-240"
Bank Spółdzielczy w Augustowie,93510000,"Augustów, ul. 3 Maja 13, 16-300"
Bank Spółdzielczy w Łobżenicy,89380006,"Łobżenica, ul. Wyrzyska 26, 89-310"
Powiatowy Bank Spółdzielczy w Tomaszowie Mazowieckim,89850004,"Tomaszów Mazowiecki, ul. Handlowa 35/37, 97-200"
Bank Spółdzielczy w Raciborzu,84751045,"Pietrowice Wielkie, ul. Szkolna 4, 47-480"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201462,"Bydgoszcz, al. Gdańska 23, 85-005"
DNB Bank Polska Spółka Akcyjna,13701066,"Warszawa, ul. Postępu 15C, 02-676"
Bank Polska Kasa Opieki Spółka Akcyjna,12406205,"Warszawa, ul. Krucza 50, 00-025"
Bank Spółdzielczy w Przysusze,91451024,"Odrzywół, ul. Warszawska 57, 26-425"
Bank Polska Kasa Opieki Spółka Akcyjna,12406045,"Warszawa, ul. Towarowa 25, 00-958"
Bank Spółdzielczy w Piasecznie,80021056,"Magnuszew, ul. Saperów 28, 26-910"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204913,"Tarnobrzeg, ul. Sienkiewicza 55, 39-400"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401143,"Warszawa, ul. Chłodna 52, 00-872"
Bank Polska Kasa Opieki Spółka Akcyjna,12405787,"Giżycko, ul. Dąbrowskiego 12, 11-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12404474,"Kraków, ul. Wielicka 259, 30-663"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90420003,"Płock, ul. Warmińska 12, 09-408"
Bank Polska Kasa Opieki Spółka Akcyjna,12405400,"Gdańsk, ul. Ogarna 116, 80-826"
Santander Bank Polska Spółka Akcyjna,10902008,"Katowice, ul. Katowicka 61, 40-174"
Bank Polska Kasa Opieki Spółka Akcyjna,12403288,"Łask, ul. Warszawska 12, 98-100"
TF BANK AB (Spółka z ograniczoną odpowiedzialnością) Oddział w Polsce,27000001,"Gdańsk, al. Grunwaldzka 103A, 80-244"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202241,"Kępno, Rynek 28, 63-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12401952,"Wałbrzych, ul. Sienkiewicza 8, 58-300"
SGB-Bank Spółka Akcyjna,16101032,"Ostrów Wielkopolski, ul. Raszkowska 60, 63-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12405136,"Nowy Targ, al. Tysiąclecia 35a, 34-400"
ING Bank Śląski Spółka Akcyjna,10501025,"Warszawa, ul. Powsińska 64A, 02-903"
Bank Spółdzielczy w Białej Podlaskiej,80251017,"Rossosz, ul. Batalionów Chłopskich 53A, 21-533"
Bank Polska Kasa Opieki Spółka Akcyjna,12402799,"Stalowa Wola, ul. Wolności 17, 37-450"
Santander Bank Polska Spółka Akcyjna,10902659,"Kołobrzeg, ul. Młyńska 10A/U1, 78-100"
Autopay Spółka Akcyjna,62000004,"Sopot, ul. Powstańców Warszawy 6, 81-718"
Bank Polska Kasa Opieki Spółka Akcyjna,12403233,"Poznań, pl. Wolności 18, 61-739"
Bank Polska Kasa Opieki Spółka Akcyjna,12402076,"Szczecin, al. Wojska Polskiego 1, 70-470"
Bank Spółdzielczy w Wolbromiu,84500005,"Wolbrom, ul. Krakowska 26, 32-340"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201433,"Wadowice, ul. Lwowska 20, 34-100"
Bank Spółdzielczy w Raciborzu,84751032,"Kuźnia Raciborska, ul. Powstańców 11, 47-420"
Bank Spółdzielczy w Lubartowie,87071016,"Firlej, ul. Partyzancka 2, 21-136"
Bank Spółdzielczy w Tychach,84350004,"Tychy, ul. Damrota 41, 43-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406436,"Warszawa, ul. Puławska 54/56, 02-592"
Bank Polska Kasa Opieki Spółka Akcyjna,12401503,"Lublin, ul. Królewska 1, 20-109"
Bank Polska Kasa Opieki Spółka Akcyjna,12404995,"Sędziszów, ul. Przemysłowa 9, 28-340"
Bank Spółdzielczy w Kłobucku,82481012,"Panki, ul. Tysiąclecia 6, 42-140"
Bank Spółdzielczy w Przysusze,91451066,"Gielniów, ul. Partyzantów 3, 26-434"
Bank Polska Kasa Opieki Spółka Akcyjna,12402366,"Ustrzyki Dolne, ul. Rynek 17, 38-700"
Bank Spółdzielczy w Goleniowie,93750002,"Goleniów, ul. Konstytucji 3 Maja 56, 72-100"
BNP Paribas Bank Polska Spółka Akcyjna,20300074,"Kraków, ul. Armii Krajowej 28, 30-150"
Bank Polska Kasa Opieki Spółka Akcyjna,12401200,"Chełm, Aleja Żołnierzy I Armii Wojska Polskiego 41, 22-100"
ING Bank Śląski Spółka Akcyjna,10501764,"Gdańsk, al. Grunwaldzka 56, 80-241"
DNB Bank Polska Spółka Akcyjna,13700001,"Warszawa, ul. Postępu 15c, 02-676"
SGB-Bank Spółka Akcyjna,16101322,"Ciechanów, ul. Kopernika 2, 06-400"
Bank Spółdzielczy w Radzyniu Podlaskim,80461067,"Milanów, ul. Kościelna 1, 21-210"
Gospodarczy Bank Spółdzielczy w Barlinku,83551035,"Słońsk, ul. Sikorskiego 7, 66-436"
DNB Bank Polska Spółka Akcyjna,13701271,"Warszawa, ul. Postępu 15C, 02-676"
Santander Bank Polska Spółka Akcyjna,10901157,"Krotoszyn, ul. Sienkiewicza 12A, 63-700"
PLUS BANK Spółka Akcyjna,16801248,"Warszawa, Aleja Stanów Zjednoczonych 61A, 04-028"
Alior Bank Spółka Akcyjna,24901057,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Suchej Beskidzkiej,81280005,"Sucha Beskidzka, ul. Piłsudskiego 5, 34-200"
Bank Spółdzielczy w Bieczu,86271011,"Jasło, ul. Stroma 2, 38-200"
BNP Paribas Bank Polska Spółka Akcyjna,16001260,"Szczecin, al. Wojska Polskiego 3, 70-470"
Bank Polska Kasa Opieki Spółka Akcyjna,12404719,"Kraków, Aleja Pokoju 1, 31-548"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331043,"Bardo, Rynek 4, 57-256"
Bank of China (Europe) S.A. Spółka Akcyjna Oddział w Polsce,26000000,"Warszawa, ul. Zielna 41/43, 00-108"
Bank Spółdzielczy we Włoszczowie,82760003,"Koniecpol, ul. Rynek 21, 42-230"
ING Bank Śląski Spółka Akcyjna,10501429,"Pińczów, ul. Klasztorna 4, 28-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12404458,"Kraków, ul. Wielicka 259, 30-663"
Bank Spółdzielczy w Czyżewie,87470008,"Czyżew, ul. Szkolna 52, 18-220"
Bank Spółdzielczy w Nałęczowie,87330009,"Nałęczów, ul. 1 Maja 16, 24-140"
Bank Polska Kasa Opieki Spółka Akcyjna,12401763,"Poznań, ul. Stary Rynek 97/98, 61-773"
Pomorski Bank Spółdzielczy w Świdwinie,85811030,"Gościno, ul. IV Dywizji Wojska Polskiego 52, 78-120"
Santander Bank Polska Spółka Akcyjna,10901900,"Gorzów Wielkopolski, ul. Kombatantów 2, 66-414"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205297,"Oleśnica, ul. 3 Maja 1-3, 56-400"
Bank Pocztowy Spółka Akcyjna,13202550,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401026,"Gdynia, ul. 3 Maja 27/31, 81-364"
Bank Spółdzielczy w Bytowie,93211024,"Miastko, ul. Młodzieżowa 1, 77-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12403842,"Gryfice, ul. Wałowa 1, 72-300"
ING Bank Śląski Spółka Akcyjna,10501852,"Września, ul. Warszawska 14, 62-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12404533,"Kraków, ul. Pijarska 1, 31-015"
BNP Paribas Bank Polska Spółka Akcyjna,23400009,"Katowice, ul. Ligocka 103, 40-568"
Bałtycki Bank Spółdzielczy,85661039,"Kołobrzeg, ul. Ratuszowa 3/2B, 78-100"
Bank Ochrony Środowiska Spółka Akcyjna,15401199,"Legnica, ul. Złotoryjska 4, 59-220"
Bank Spółdzielczy w Nasielsku,82260008,"Nasielsk, ul. Kościuszki 19, 05-190"
Bank Polska Kasa Opieki Spółka Akcyjna,12405804,"Tomaszów Mazowiecki, ul. Mościckiego 31/33, 97-200"
Santander Bank Polska Spółka Akcyjna,10901232,"Legnica, ul. Gwarna 4A, 59-220"
Santander Bank Polska Spółka Akcyjna,10901551,"Krosno Odrzańskie, ul. Poznańska 21, 66-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12404487,"Skawina, ul. Korabnicka 5A, 32-050"
Bank Spółdzielczy w Zawadzkiem,89091029,"Zębowice, ul. Murka 2A, 46-048"
Santander Bank Polska Spółka Akcyjna,10901577,"Nowa Sól, ul. Moniuszki 9, 67-100"
Bank Spółdzielczy w Jaworze,86470007,"Jawor, ul. Wrocławska 2, 59-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12402454,"Świdnik, ul. Wyszyńskiego 15, 21-040"
ING Bank Śląski Spółka Akcyjna,10500419,"Katowice, ul. Chorzowska 50, 40-101"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881095,"Lipce Reymontowskie, ul. Targowa 2, 96-127"
Bank Spółdzielczy w Kielcach,84930004,"Kielce, ul. Złota 9, 25-015"
Alior Bank Spółka Akcyjna,10600193,"Warszawa, ul. Łopuszańska 38D, 02-232"
Mazowiecki Bank Spółdzielczy w Łomiankach,80091033,"Warszawa, ul. Przy Agorze 11A, 01-960"
Bank Polska Kasa Opieki Spółka Akcyjna,12404386,"Jastrzębie-Zdrój, al. Piłsudskiego 2A, 44-335"
Bank Polska Kasa Opieki Spółka Akcyjna,12401327,"Ostrów Wielkopolski, ul. Głogowska 23, 63-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12404139,"Szczyrk, ul. Beskidzka 67, 43-370"
Volkswagen Bank GmbH Spółka z ograniczoną odpowiedzialnością Oddział w Polsce,21301014,"Warszawa, Rondo ONZ 1, 00-124"
Bank Spółdzielczy w Krzeszowicach,86120003,"Krzeszowice, ul. Krakowska 6, 32-065"
BNP Paribas Bank Polska Spółka Akcyjna,16001316,"Olsztyn, Aleja Marszałka Józefa Piłsudskiego 11/17, 10-575"
Alior Bank Spółka Akcyjna,24901060,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Iłowie,90100006,"Iłów, ul. Płocka 4, 96-520"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201967,"Gorzów Wielkopolski, ul. Górczyńska 21, 66-400"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401169,"Gdańsk, ul. Heweliusza 11, 80-890"
ING Bank Śląski Spółka Akcyjna,10501618,"Olkusz, ul. Króla Kazimierza Wielkiego 62A, 32-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12404517,"Kraków, ul. Wielicka 259, 30-663"
Bank Polska Kasa Opieki Spółka Akcyjna,12405497,"Lublin, ul. Krakowskie Przedmieście 72, 20-076"
BNP Paribas Bank Polska Spółka Akcyjna,20300032,"Warszawa, ul. Kasprzaka 10/16, 01-211"
Bank Polska Kasa Opieki Spółka Akcyjna,12403754,"Wronki, ul. Mickiewicza 16B, 64-510"
Santander Bank Polska Spółka Akcyjna,10902271,"Wałbrzych, ul. Chrobrego 7, 58-300"
Santander Bank Polska Spółka Akcyjna,15001025,"Gdańsk, ul. Jana Heweliusza 21, 80-890"
Bank Polska Kasa Opieki Spółka Akcyjna,12402193,"Łosice, ul. Rynek 14, 08-200"
Bank Pocztowy Spółka Akcyjna,13201263,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Warszawski Bank Spółdzielczy,80150004,"Warszawa, ul. Fieldorfa 5A, 03-984"
Bank Spółdzielczy w Trzebieszowie,92060009,"Trzebieszów, Trzebieszów 33, 21-404"
ING Bank Śląski Spółka Akcyjna,10501155,"Lubliniec, ul. Mickiewicza 28, 42-700"
Bank Polska Kasa Opieki Spółka Akcyjna,12405237,"Białystok, ul. Sienkiewicza 40, 15-092"
"Bank Spółdzielczy ""Bank Rolników"" w Opolu",88980003,"Opole, ul. Książąt Opolskich 36A, 45-005"
Bank Spółdzielczy w Piotrkowie Kujawskim,95511025,"Dąbrowa Biskupia, ul. Długa 36, 88-133"
Bank Spółdzielczy w Krasnosielcu z siedzibą w Makowie Mazowieckim,89170001,"Maków Mazowiecki, ul. Admirała Rickovera 15, 06-200"
BNP Paribas Bank Polska Spółka Akcyjna,16001114,"Gdynia, pl. Kaszubski 8, 81-350"
Alior Bank Spółka Akcyjna,10600265,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy Ziemi Szczecińskiej,93871026,"Dolice, ul. Wiejska 3, 73-115"
Bank Spółdzielczy w Końskich,84940003,"Końskie, ul. Zamkowa 7, 26-200"
BNP Paribas Bank Polska Spółka Akcyjna,16001039,"Kraków, ul. Armii Krajowej 28, 30-150"
Bank Spółdzielczy w Żyrakowie,94780000,"Żyraków, Żyraków 137 C, 39-204"
Bank Polska Kasa Opieki Spółka Akcyjna,12403549,"Gorzów Wielkopolski, ul. Fabryczna 12, 66-400"
Bank Spółdzielczy w Zawadzkiem,89090006,"Zawadzkie, ul. Opolska 38, 47-120"
Bank Polska Kasa Opieki Spółka Akcyjna,12401877,"Stargard, ul. Hetmana Stefana Czarnieckiego 16, 73-110"
Bank Spółdzielczy w Kórniku,90760008,"Kórnik, pl. Niepodległości 31, 62-035"
"Western Union International Bank GmbH, Sp. z o.o. Oddział w Polsce",26700001,"Warszawa, Al. Jana Pawła II 29, 00-867"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202313,"Katowice, ul. Damrota 23, 40-022"
SGB-Bank Spółka Akcyjna,16101133,"Poznań, ul. Zwierzyniecka 14-16, 60-813"
Bank Polska Kasa Opieki Spółka Akcyjna,12401109,"Warszawa, al. Wincentego Witosa 31, 00-710"
Bank Spółdzielczy w Raciborzu,84750006,"Racibórz, ul. Klasztorna 3, 47-400"
Bank Spółdzielczy w Nowym Sączu,88111016,"Gródek nad Dunajcem, Gródek nad Dunajcem 100, 33-318"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203453,"Nowy Sącz, Aleje Wolności 16, 33-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12403002,"Kraków, ul. Szpitalna 15, 31-024"
Santander Bank Polska Spółka Akcyjna,10902499,"Brzeg Dolny, ul. Józefa Maksymiliana Ossolińskiego 2D/U1/U2 , 56-120"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19300005,"Warszawa, ul. Grzybowska 81, 00-844"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205138,"Świdnica, ul. Pułaskiego 1-5, 58-100"
Mazowiecki Bank Spółdzielczy w Łomiankach,80091017,"Naruszewo, Naruszewo 12A, 09-152"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202645,"Busko-Zdrój, pl. Zwycięstwa 18, 28-100"
Bank Spółdzielczy w Legnicy,86490005,"Legnica, ul. Wjazdowa 2, 59-220"
Santander Bank Polska Spółka Akcyjna,15001520,"Lublin, ul. Krakowskie Przedmieście 40, 20-400"
SGB-Bank Spółka Akcyjna,16101319,"Piotrków Trybunalski, ul. Słowackiego 81, 97-300"
Bank Spółdzielczy w Siedlcu,96601017,"Babimost, ul. Sulechowska 17A, 66-110"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202964,"Krosno, ul. Bieszczadzka 3, 38-400"
Bank Pocztowy Spółka Akcyjna,13200048,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
BNP Paribas Bank Polska Spółka Akcyjna,20302182,"Warszawa, ul. Kasprzaka 10/16, 01-211"
Bank Polska Kasa Opieki Spółka Akcyjna,12401620,"Ostróda, ul. Grunwaldzka 4, 14-100"
Santander Bank Polska Spółka Akcyjna,15002080,"Warszawa, ul. Targowa 49/51, 03-733"
Bank Polska Kasa Opieki Spółka Akcyjna,12403435,"Rzgów, ul. Tuszyńska 1, 95-030"
Santander Bank Polska Spółka Akcyjna,15001298,"Olsztyn, al. Wojska Polskiego 62, 10-292"
